iter	Logloss
0	0.6715946122
1	0.6512539777
2	0.6324242036
3	0.6148848862
4	0.5985499279
5	0.5839436031
6	0.5695988531
7	0.5570924607
8	0.545246766
9	0.5343028787
10	0.5235009859
11	0.5134531902
12	0.5048266376
13	0.4960359243
14	0.4880695998
15	0.4809161723
16	0.4742634048
17	0.4676149307
18	0.4615700789
19	0.4562148902
20	0.4511436547
21	0.4461902831
22	0.4415798485
23	0.4374158291
24	0.4334158843
25	0.4295328923
26	0.4261611946
27	0.4227648396
28	0.4196650945
29	0.417132761
30	0.4145829192
31	0.4118696886
32	0.4095637053
33	0.4073173405
34	0.4052508399
35	0.4035140773
36	0.401700095
37	0.4001115476
38	0.3984631757
39	0.3970864293
40	0.3956432083
41	0.3944720299
42	0.3931727781
43	0.3921434836
44	0.3909028073
45	0.3898414149
46	0.3887537787
47	0.3877853697
48	0.3868524526
49	0.3859925182
50	0.3851538405
51	0.3843977112
52	0.3837323302
53	0.3830405083
54	0.3824208279
55	0.3818666774
56	0.3812935362
57	0.3806849665
58	0.3802495741
59	0.3798711635
60	0.3793498289
61	0.3788993591
62	0.3784589416
63	0.378029456
64	0.3776417256
65	0.3772403088
66	0.3768658709
67	0.3764927613
68	0.3761632746
69	0.3758261752
70	0.3754703499
71	0.3752499153
72	0.3750519592
73	0.3747622564
74	0.3745352065
75	0.3742954888
76	0.3740437006
77	0.3737855701
78	0.373600399
79	0.3734035223
80	0.3732411778
81	0.3730299224
82	0.3728216114
83	0.372647648
84	0.372465145
85	0.3722619521
86	0.3721641164
87	0.3720405208
88	0.3719107987
89	0.3718048011
90	0.3717134984
91	0.3715873595
92	0.3714139462
93	0.3712641073
94	0.3710954111
95	0.3709641214
96	0.3708797007
97	0.3707427549
98	0.3706258594
99	0.3705031497
100	0.370442514
101	0.3703123854
102	0.3702152827
103	0.3700379027
104	0.3699291865
105	0.3697993708
106	0.3697337441
107	0.3696153816
108	0.3695325687
109	0.369449627
110	0.3693396546
111	0.3692283427
112	0.3691256476
113	0.3690148994
114	0.3689583074
115	0.3688702212
116	0.3688085636
117	0.3687379053
118	0.3686612952
119	0.3685560786
120	0.368447798
121	0.3683815052
122	0.368285745
123	0.368191662
124	0.3681258997
125	0.3680411123
126	0.367958582
127	0.3679169416
128	0.3678086912
129	0.3677213319
130	0.3676208685
131	0.3675324621
132	0.3674369398
133	0.3674082953
134	0.3673332184
135	0.3672353178
136	0.3671805713
137	0.3670949621
138	0.3669880969
139	0.3669119015
140	0.3668324096
141	0.3667608245
142	0.3666712788
143	0.3665764927
144	0.3665050789
145	0.3664134216
146	0.3663650718
147	0.3662942387
148	0.3662151825
149	0.3660513621
150	0.3659807241
151	0.3659036594
152	0.3657982881
153	0.3657451583
154	0.3656817561
155	0.3656682634
156	0.3656196517
157	0.365560067
158	0.3654903252
159	0.3654360728
160	0.3653959375
161	0.3653109666
162	0.3652450517
163	0.3651892265
164	0.3651456715
165	0.3650671287
166	0.3649824703
167	0.3649188017
168	0.3648455343
169	0.3647755718
170	0.364710107
171	0.3646424537
172	0.3645891209
173	0.3644964409
174	0.3644232694
175	0.364371909
176	0.3643188351
177	0.364172528
178	0.3641194403
179	0.3640648509
180	0.3640211234
181	0.3639686691
182	0.3639247888
183	0.3638538034
184	0.3638159736
185	0.3637393483
186	0.3636438385
187	0.3636021992
188	0.3635109527
189	0.3634357374
190	0.3633670825
191	0.3632974192
192	0.3632229199
193	0.3631492936
194	0.3631067429
195	0.3630297526
196	0.3629291818
197	0.3628347616
198	0.3627742166
199	0.3627267435
200	0.3626485281
201	0.3625489827
202	0.3624812402
203	0.3623930656
204	0.3623407021
205	0.3622788142
206	0.3622237185
207	0.3621441769
208	0.3620733156
209	0.3619806651
210	0.3619133146
211	0.3618487377
212	0.3617908354
213	0.3616955622
214	0.3616410824
215	0.361572335
216	0.3615178631
217	0.3614281619
218	0.3613574387
219	0.3612877855
220	0.3612328933
221	0.3611726679
222	0.3610770737
223	0.3610243452
224	0.3609664439
225	0.3609102314
226	0.3608321055
227	0.3607801567
228	0.3607514652
229	0.3606880518
230	0.3606186896
231	0.3605573555
232	0.3604891787
233	0.360450422
234	0.3603530106
235	0.3602977081
236	0.3602573721
237	0.3601806181
238	0.3601092568
239	0.3599921089
240	0.3598999904
241	0.3598530058
242	0.3597893493
243	0.3597375538
244	0.3596570679
245	0.3596126286
246	0.3595515251
247	0.3594749985
248	0.3594327526
249	0.3593436564
250	0.359298239
251	0.3592415642
252	0.3591816222
253	0.359133128
254	0.3590754278
255	0.3590386082
256	0.3589816167
257	0.3588999689
258	0.3588237956
259	0.3587749031
260	0.3587179093
261	0.3586541568
262	0.3585790726
263	0.3585270811
264	0.3584501136
265	0.3583885001
266	0.3583361295
267	0.3582847315
268	0.3582039563
269	0.3581358096
270	0.3580785077
271	0.3580054547
272	0.3579457248
273	0.3578901143
274	0.3578518833
275	0.3577865812
276	0.3577139159
277	0.3576719674
278	0.3576368883
279	0.3575783337
280	0.357518043
281	0.3574382456
282	0.3573819814
283	0.3573347571
284	0.3572993318
285	0.3572177695
