iter	Passed	Remaining
0	10	53791
1	17	43798
2	28	48118
3	34	43508
4	40	40601
5	46	38627
6	52	37206
7	58	36291
8	64	35599
9	70	35002
10	75	34402
11	81	34013
12	87	33519
13	97	34599
14	103	34319
15	108	33919
16	115	33730
17	120	33474
18	125	33005
19	129	32368
20	135	32190
21	143	32408
22	157	34012
23	166	34433
24	174	34769
25	184	35203
26	193	35640
27	199	35479
28	205	35250
29	209	34787
30	217	34784
31	224	34785
32	230	34634
33	236	34545
34	242	34441
35	246	34053
36	252	33907
37	258	33770
38	264	33655
39	270	33539
40	276	33423
41	286	33804
42	292	33700
43	295	33338
44	301	33198
45	307	33100
46	313	33010
47	317	32781
48	323	32694
49	329	32650
50	335	32563
51	341	32489
52	347	32431
53	353	32345
54	362	32578
55	370	32690
56	378	32818
57	386	32918
58	394	33043
59	400	32957
60	408	33057
61	416	33182
62	421	33047
63	428	33052
64	435	33057
65	441	33028
66	449	33094
67	456	33120
68	464	33186
69	471	33241
70	478	33242
71	486	33307
72	493	33315
73	500	33338
74	511	33568
75	518	33576
76	524	33541
77	531	33520
78	537	33499
79	544	33483
80	553	33608
81	559	33585
82	566	33546
83	572	33519
84	579	33487
85	585	33479
86	597	33756
87	609	34035
88	616	34005
89	622	33955
90	627	33871
91	632	33748
92	639	33750
93	653	34128
94	661	34162
95	669	34192
96	676	34187
97	684	34215
98	691	34220
99	699	34296
100	706	34291
101	718	34482
102	725	34497
103	732	34483
104	743	34670
105	753	34790
106	759	34751
107	766	34705
108	772	34684
109	779	34654
110	787	34680
111	793	34613
112	798	34548
113	804	34492
114	810	34423
115	816	34361
116	821	34286
117	827	34222
118	834	34218
119	839	34158
120	845	34094
121	851	34034
122	856	33979
123	862	33921
124	868	33858
125	873	33806
126	879	33753
127	883	33629
128	889	33581
129	895	33531
130	900	33476
131	909	33526
132	919	33651
133	925	33599
134	936	33760
135	946	33863
136	952	33826
137	958	33784
138	969	33902
139	977	33929
140	985	33962
141	993	33979
142	1001	34005
143	1008	34013
144	1017	34075
145	1025	34110
146	1035	34175
147	1043	34223
148	1052	34269
149	1060	34290
150	1069	34329
151	1076	34329
152	1086	34414
153	1094	34451
154	1103	34481
155	1108	34419
156	1117	34478
157	1126	34512
158	1135	34580
159	1143	34594
160	1149	34540
161	1156	34532
162	1167	34636
163	1181	34843
164	1187	34803
165	1200	34956
166	1213	35105
167	1222	35149
168	1232	35227
169	1243	35320
170	1249	35290
171	1260	35379
172	1267	35361
173	1277	35435
174	1285	35449
175	1298	35579
176	1310	35721
177	1317	35698
178	1329	35801
179	1337	35821
180	1347	35880
181	1359	35997
182	1365	35951
183	1378	36069
184	1385	36050
185	1395	36109
186	1401	36061
187	1411	36137
188	1423	36223
189	1429	36195
190	1441	36300
191	1447	36249
192	1453	36195
193	1461	36193
194	1466	36139
195	1476	36196
196	1482	36146
197	1489	36112
198	1494	36059
199	1500	36007
200	1506	35973
201	1512	35933
202	1518	35883
203	1524	35838
204	1530	35795
205	1536	35748
206	1542	35705
207	1547	35662
208	1553	35617
209	1559	35564
210	1565	35525
211	1571	35500
212	1577	35446
213	1583	35404
214	1588	35362
215	1594	35313
216	1600	35268
217	1606	35229
218	1611	35183
219	1617	35144
220	1623	35103
221	1628	35056
222	1634	35017
223	1640	34978
224	1645	34930
225	1651	34888
226	1657	34853
227	1663	34809
228	1677	34939
229	1684	34939
230	1690	34905
231	1696	34864
232	1702	34824
233	1709	34828
234	1723	34940
235	1735	35029
236	1741	34994
237	1750	35032
238	1756	34994
239	1762	34961
240	1768	34927
241	1775	34904
242	1783	34905
243	1789	34880
244	1795	34848
245	1801	34814
246	1807	34783
247	1814	34767
248	1820	34735
249	1826	34707
250	1832	34674
251	1838	34646
252	1844	34614
253	1850	34581
254	1863	34676
255	1871	34679
256	1879	34689
257	1887	34698
258	1896	34708
259	1903	34694
260	1910	34682
261	1920	34726
262	1933	34825
263	1941	34833
264	1956	34967
265	1970	35076
266	1985	35187
267	1995	35228
268	2009	35348
269	2019	35381
270	2032	35463
271	2038	35435
272	2050	35508
273	2058	35507
274	2071	35597
275	2083	35664
276	2090	35651
277	2103	35721
278	2115	35789
279	2130	35916
280	2137	35890
281	2151	35998
282	2159	35986
283	2170	36043
284	2182	36115
285	2193	36160
